date,member_name,session_count,total_input_tokens,total_output_tokens,total_cache_creation_tokens,total_cache_read_tokens,total_cost_usd
2026-03-20,hletrd,15,10551,747106,29493190,740657407,573.3915
2026-03-20,claude,10,2784,374484,10832315,142814168,148.4851
2026-03-20,jaeyoon,2,1074,191327,2533750,182918035,112.0835
2026-03-20,김성민,3,196,9330,542675,2360067,4.8060
2026-03-20,cyjun0304,2,147,15629,184061,3743845,3.4138
2026-03-20,samwoo,4,71,7517,185887,791352,1.7457
2026-03-20,조면철,2,88,8562,135906,1033581,1.5807
2026-03-19,claude,18,29575,525397,22350506,324129340,315.0381
2026-03-19,ben_baldivia,12,3906,556760,3847196,446937387,261.4522
2026-03-19,조면철,7,6503,404737,8268188,318230734,220.9425
2026-03-19,hletrd,16,4855,369460,14648905,179408843,190.5209
2026-03-19,Da-hye Kim,8,28465,452726,7519868,246505025,152.9559
2026-03-19,김성민,5,7959,134155,6373034,64672419,75.5613
2026-03-19,김윤식,3,668,106794,1664178,76428237,51.2884
2026-03-19,samwoo,2,699,105439,1913911,51459651,40.3312
2026-03-19,inkeun,3,118,7789,1081545,2359060,8.1345
2026-03-18,hletrd,35,21772,1555426,40813052,1636480538,1112.3164
2026-03-18,김성민,5,45021,1851442,56778217,828205003,815.4775
2026-03-18,jaeyoon,3,42931,944139,15931910,1155270756,699.0353
2026-03-18,claude,15,6070,467159,18706849,317745177,287.4997
2026-03-18,samwoo,5,6800,455870,4169252,213795109,144.3861
2026-03-18,Da-hye Kim,6,28265,357771,5246334,198196373,131.6122
2026-03-18,cyjun0304,7,35320,148276,5157052,118726308,95.4782
2026-03-18,김윤식,9,26768,80483,1155498,18750198,18.7429
2026-03-18,조면철,6,265,37416,544827,7462164,8.0730
2026-03-18,inkeun,2,83,10316,526143,1986318,4.5399
2026-03-18,김선후,1,57,15440,93835,1041350,1.4934
2026-03-18,ben_baldivia,1,32,2323,57266,493556,0.6629
2026-03-17,ben_baldivia,7,9627,884131,11696311,1866086099,1028.2964
2026-03-17,hletrd,40,122637,1087609,31314459,633812844,540.2276
2026-03-17,김성민,7,27381,655821,34155161,512462275,486.2333
2026-03-17,claude,4,4686,562317,24157244,619171199,474.6497
2026-03-17,jaeyoon,11,41021,892380,8709759,472077316,312.9893
2026-03-17,Da-hye Kim,5,177816,439072,11682160,411830442,259.0972
2026-03-17,samwoo,4,1316,378445,3566284,261223352,162.3687
2026-03-17,cyjun0304,17,6958,229274,2290255,75797818,57.9796
2026-03-17,김윤식,3,16854,111099,1907211,31479600,30.5216
2026-03-17,김선후,5,21986,50553,776093,10954994,11.7018
2026-03-16,hletrd,108,98839646,1135426,17671069,416609556,624.4074
2026-03-16,ben_baldivia,6,10596,523623,5012895,1038123946,563.5361
2026-03-16,김성민,7,7266,746717,25095927,410320679,380.7141
2026-03-16,claude,9,3726,298029,12044653,245249655,205.3733
2026-03-16,Da-hye Kim,8,55526,427775,9016122,285090197,178.4672
2026-03-16,cyjun0304,7,14594,131372,1457358,93922246,59.4269
2026-03-16,조면철,3,3511,140894,1841959,68124049,49.1142
2026-03-16,inkeun,3,146,17422,856879,3333381,6.5010
2026-03-16,samwoo,2,159,18798,222360,4303562,4.0123
2026-03-16,jaeyoon,1,89,7049,292372,2086413,3.0472
2026-03-16,김윤식,1,6,330,25272,12916,0.1036
2026-03-15,Da-hye Kim,7,125355,1213026,24802295,1579921112,937.1317
2026-03-15,claude,18,12245,948364,26819775,1019588809,701.1883
2026-03-15,hletrd,37,42384051,722719,24327277,405343594,493.3441
2026-03-15,inkeun,37,2729923,277399,4603269,71230039,76.6558
2026-03-15,ben_baldivia,5,1643,207383,1302003,116176194,71.4184
2026-03-15,jaeyoon,2,8417,96934,3023146,47834862,45.2775
2026-03-15,김선후,1,34,36743,266721,1354264,3.2629
2026-03-15,samwoo,1,26,1158,61358,203302,0.5142
2026-03-14,hletrd,52,12134614,4602384,177400061,2196342825,2259.0226
2026-03-14,Da-hye Kim,85,218241,1660354,23531782,833604196,527.6637
2026-03-14,김성민,2,14533,846872,26713945,482551048,429.4821
2026-03-14,claude,12,7513,262742,4777370,82263742,77.5965
2026-03-14,inkeun,91,10063501,139180,0,12952960,36.1641
