member_name,session_id,model,input_tokens,output_tokens,cache_creation_tokens,cache_read_tokens,cost_usd,project_name,recorded_at
hletrd,5d4f9b27-4eda-4d75-99f7-54227f364dc0,claude-opus-4-6,120,4765,100299,1553741,1.52346425,-Users-hletrd-flash-shared,2026-03-20 09:46:40.336+00
claude,68841fd3-ffab-4fe2-815a-b240f91b0a1d,claude-opus-4-6,858,152885,3615268,60894667,56.8691735,-mnt-harbor-users-claude-GitHub-DeltaTok,2026-03-20 09:09:21.475+00
claude,f0638a62-6de3-4d15-84ee-c98d7d0ba30f,claude-opus-4-6,741,122038,3878265,43142404,48.86501325,-mnt-harbor-users-claude-GitHub-DeltaTok,2026-03-20 08:35:25.582+00
hletrd,86ff6e54-4805-4aa9-bcf2-4d64106ca837,claude-opus-4-6,753,27773,644608,23235022,16.344401,-Users-hletrd-flash-shared-RB-Y1,2026-03-20 08:32:11.106+00
김성민,37035fb4-7045-4c4a-bfff-492b643cb0e6,claude-opus-4-6,175,9090,334118,2325670,3.4791975,-home-khemoo-pt-worv-ai,2026-03-20 08:31:31.414+00
조면철,2dc03f97-c1d0-469c-81b7-80bbbbe3da3f,claude-opus-4-6,27,3824,21144,142582,0.299176,-home-worv,2026-03-20 08:31:26.334+00
claude,dac089a0-1cac-4a1e-9624-3d5abe13b5b4,claude-opus-4-6,9,986,100303,82509,0.69284325,-mnt-harbor-users-claude-GitHub-DeltaTok,2026-03-20 08:24:56.659+00
김성민,8f88eae1-eed9-4bf2-9cfb-cb0f8c1abd94,claude-opus-4-6,9,92,71345,34397,0.46544975,-home-khemoo,2026-03-20 08:20:45.95+00
hletrd,75f17e5c-bde2-43ed-b97c-b563f65517b6,claude-opus-4-6,639,66245,2149346,28351776,29.2686205,-Users-hletrd-flash-shared-judgekit,2026-03-20 08:01:55.639+00
hletrd,65309c51-55cf-4380-a3c1-2c1af21f37ab,claude-opus-4-6,402,25321,2640170,8853102,21.5626485,-Users-hletrd-flash-shared-judgekit,2026-03-20 07:47:09.866+00
김성민,5790ea36-fa06-4a44-affc-d4702dc2bb8a,claude-opus-4-6,6,74,68606,0,0.4306675,-home-khemoo,2026-03-20 07:42:08.26+00
김성민,5790ea36-fa06-4a44-affc-d4702dc2bb8a,claude-opus-4-6,6,74,68606,0,0.4306675,-home-khemoo,2026-03-20 07:42:08.26+00
jaeyoon,9de8a8d1-6742-49a4-a9f9-f2b35bcf3623,claude-opus-4-6,1057,188635,2500438,182741016,111.7194055,-mnt-raid12-users-jyjung-ourvla-reflex-projects-reflex-train,2026-03-20 07:13:49.654+00
